"","religpew_protestant_t","n","percent"
"140","The Church of Jesus Christ(not Mormon)",1,2.21160651096957e-05
"141","The Church of the Gospel of Jesus Christ",1,2.21160651096957e-05
"142","The Salvation Army",1,2.21160651096957e-05
"143","ucc",1,2.21160651096957e-05
"144","undecided",1,2.21160651096957e-05
"145","Undisclosed",1,2.21160651096957e-05
"146","Unitarian",1,2.21160651096957e-05
"147","United",1,2.21160651096957e-05
"148","United Brethern",1,2.21160651096957e-05
"149","United Church of Christ",2,4.42321302193914e-05
"150","United Methodist",1,2.21160651096957e-05
"151","Unity",1,2.21160651096957e-05
"152","unsure",1,2.21160651096957e-05
"153","Vineyard",2,4.42321302193914e-05
"154","went to Baptist churches growing up but I've been to a few other protestant ones and it's basically all the same? I don't have a personal difference at least",1,2.21160651096957e-05
"155","wesleyan",1,2.21160651096957e-05
"156","Wesleyan",4,8.84642604387827e-05
"157","Wesleyan Church",1,2.21160651096957e-05
"158","Will not step inside a church",1,2.21160651096957e-05
